index,q_full,q_index,item_text,index_item2
91,X10..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.stjórnun.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu...Hlutverk.mitt.sem.stjórnandi.í.menningargeiranum.er.vandasamara.en.stjórnenda.almennt..,X10,Hlutverk mitt sem stjórnandi í menningargeiranum er vandasamara en stjórnenda almennt,X10Hlutverk mitt sem stjórnandi í menningargeiranum er vandasamara en stjórnenda almennt
92,X10..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.stjórnun.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu...Starfið.sjálft.skiptir.mig.meira.máli.en.launin..,X10,Starfið sjálft skiptir mig meira máli en launin,X10Starfið sjálft skiptir mig meira máli en launin
93,X10..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.stjórnun.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu...Starf.mitt.samræmist.lífsviðhorfum.mínum..,X10,Starf mitt samræmist lífsviðhorfum mínum,X10Starf mitt samræmist lífsviðhorfum mínum
94,X10..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.stjórnun.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu...Óöryggi.og.óvissa.um.framtíðina.eru.áberandi.í.mínu.starfi..,X10,Óöryggi og óvissa um framtíðina eru áberandi í mínu starfi,X10Óöryggi og óvissa um framtíðina eru áberandi í mínu starfi
95,X10a..Er.eitthvað.sem.þú.vilt.bæta.við.svör.þín.í.spurningum.1.10.hér.að.ofan.,X10a,Er eitthvað sem þú vilt bæta við svör þín í spurningum 1 10 hér að ofan,X10aEr eitthvað sem þú vilt bæta við svör þín í spurningum 1 10 hér að ofan
96,X11..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.vægi.stjórnunarmenntunar.hjá.stjórnendum.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Stjórnunarmenntun.er.hæfniskrafa.í.mínu.starfi..,X11,Stjórnunarmenntun er hæfniskrafa í mínu starfi,X11Stjórnunarmenntun er hæfniskrafa í mínu starfi
97,X11..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.vægi.stjórnunarmenntunar.hjá.stjórnendum.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Það.er.mikilvægara.að.vera.með.fag..eða.listmenntun.heldur.en.stjórnunarmenntun.við.stjórnun.í.menningargeiranum.,X11,Það er mikilvægara að vera með fag eða listmenntun heldur en stjórnunarmenntun við stjórnun í menningargeiranum,X11Það er mikilvægara að vera með fag eða listmenntun heldur en stjórnunarmenntun við stjórnun í menningargeiranum
98,X11..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.vægi.stjórnunarmenntunar.hjá.stjórnendum.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Það.er.mikilvægara.að.vera.með.stjórnunarmenntun.heldur.en.fag..eða.listmenntun.við.stjórnun.í.menningargeiranum.,X11,Það er mikilvægara að vera með stjórnunarmenntun heldur en fag eða listmenntun við stjórnun í menningargeiranum,X11Það er mikilvægara að vera með stjórnunarmenntun heldur en fag eða listmenntun við stjórnun í menningargeiranum
99,X11..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.vægi.stjórnunarmenntunar.hjá.stjórnendum.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Það.er.jafnmikilvægt.að.vera.með.fag..eða.listmenntun.eins.og.að.vera.með.stjórnunarmenntun.við.stjórnun.í.menningargeiranum.,X11,Það er jafnmikilvægt að vera með fag eða listmenntun eins og að vera með stjórnunarmenntun við stjórnun í menningargeiranum,X11Það er jafnmikilvægt að vera með fag eða listmenntun eins og að vera með stjórnunarmenntun við stjórnun í menningargeiranum
100,X11..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.vægi.stjórnunarmenntunar.hjá.stjórnendum.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Stjórnunarmenntun.er.almennt.óþörf.í.menningargeiranum.,X11,Stjórnunarmenntun er almennt óþörf í menningargeiranum,X11Stjórnunarmenntun er almennt óþörf í menningargeiranum
101,X11..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.vægi.stjórnunarmenntunar.hjá.stjórnendum.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Starfsreynsla.er.mikilvægari.en.formleg.menntun.í.menningargeiranum..,X11,Starfsreynsla er mikilvægari en formleg menntun í menningargeiranum,X11Starfsreynsla er mikilvægari en formleg menntun í menningargeiranum
102,X11..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.vægi.stjórnunarmenntunar.hjá.stjórnendum.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Stjórnendur.eru.almennt.vel.menntaðir.í.menningargeiranum..,X11,Stjórnendur eru almennt vel menntaðir í menningargeiranum,X11Stjórnendur eru almennt vel menntaðir í menningargeiranum
103,X11..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.vægi.stjórnunarmenntunar.hjá.stjórnendum.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Núverandi.starf.mitt.krefst.reglubundinnar.endurmenntunar..,X11,Núverandi starf mitt krefst reglubundinnar endurmenntunar,X11Núverandi starf mitt krefst reglubundinnar endurmenntunar
104,X11..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.vægi.stjórnunarmenntunar.hjá.stjórnendum.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Ég.gæti.sinnt.starfi.mínu.betur.með.meiri.stjórnunarmenntun..,X11,Ég gæti sinnt starfi mínu betur með meiri stjórnunarmenntun,X11Ég gæti sinnt starfi mínu betur með meiri stjórnunarmenntun
105,X11..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.vægi.stjórnunarmenntunar.hjá.stjórnendum.í.menningargeiranum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Ég.gæti.sinnt.starfi.mínu.betur.með.meiri.fag..eða.listmenntun..,X11,Ég gæti sinnt starfi mínu betur með meiri fag eða listmenntun,X11Ég gæti sinnt starfi mínu betur með meiri fag eða listmenntun
106,X12..Hversu.líklegt.eða.ólíklegt.telur.þú.að.þú.munir.sækja.eftirfarandi.menntun.á.næstu.12.24.mánuðum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Almennt.endurmenntunarnámskeið.í.rekstri.menningarstofnana..,X12,Almennt endurmenntunarnámskeið í rekstri menningarstofnana,X12Almennt endurmenntunarnámskeið í rekstri menningarstofnana
107,X12..Hversu.líklegt.eða.ólíklegt.telur.þú.að.þú.munir.sækja.eftirfarandi.menntun.á.næstu.12.24.mánuðum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Stjórnunarnámskeið..,X12,Stjórnunarnámskeið,X12Stjórnunarnámskeið
108,X12..Hversu.líklegt.eða.ólíklegt.telur.þú.að.þú.munir.sækja.eftirfarandi.menntun.á.næstu.12.24.mánuðum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Bókhaldsnámskeið..,X12,Bókhaldsnámskeið,X12Bókhaldsnámskeið
109,X12..Hversu.líklegt.eða.ólíklegt.telur.þú.að.þú.munir.sækja.eftirfarandi.menntun.á.næstu.12.24.mánuðum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Tungumálanámskeið..,X12,Tungumálanámskeið,X12Tungumálanámskeið
110,X12..Hversu.líklegt.eða.ólíklegt.telur.þú.að.þú.munir.sækja.eftirfarandi.menntun.á.næstu.12.24.mánuðum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Listnámskeið.,X12,Listnámskeið,X12Listnámskeið
111,X12..Hversu.líklegt.eða.ólíklegt.telur.þú.að.þú.munir.sækja.eftirfarandi.menntun.á.næstu.12.24.mánuðum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Hugbúnaðarnámskeið.,X12,Hugbúnaðarnámskeið,X12Hugbúnaðarnámskeið
112,X12..Hversu.líklegt.eða.ólíklegt.telur.þú.að.þú.munir.sækja.eftirfarandi.menntun.á.næstu.12.24.mánuðum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Háskólanám.í.menningarstjórnun.,X12,Háskólanám í menningarstjórnun,X12Háskólanám í menningarstjórnun
113,X12..Hversu.líklegt.eða.ólíklegt.telur.þú.að.þú.munir.sækja.eftirfarandi.menntun.á.næstu.12.24.mánuðum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Háskólanám.í.rekstri.og.stjórnun..öðru.en.menningarstjórnun...,X12,Háskólanám í rekstri og stjórnun öðru en menningarstjórnun,X12Háskólanám í rekstri og stjórnun öðru en menningarstjórnun
114,X12..Hversu.líklegt.eða.ólíklegt.telur.þú.að.þú.munir.sækja.eftirfarandi.menntun.á.næstu.12.24.mánuðum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Háskólanám.í.listum..,X12,Háskólanám í listum,X12Háskólanám í listum
115,X12..Hversu.líklegt.eða.ólíklegt.telur.þú.að.þú.munir.sækja.eftirfarandi.menntun.á.næstu.12.24.mánuðum..Merkið.við.einn.valmöguleika.í.hverri.línu.....Annað.háskólanám.,X12,Annað háskólanám,X12Annað háskólanám
116,X12a..Er.eitthvað.sem.þú.vilt.bæta.við.svör.þín.í.spurningum.11.12.hér.að.ofan.,X12a,Er eitthvað sem þú vilt bæta við svör þín í spurningum 11 12 hér að ofan,X12aEr eitthvað sem þú vilt bæta við svör þín í spurningum 11 12 hér að ofan
117,X13..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.í.loftslags..og.umhverfismálum.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Loftslagsmál.hafa.mikil.áhrif.á.ákvarðanatöku.í.minni.skipulagsheild..,X13,Loftslagsmál hafa mikil áhrif á ákvarðanatöku í minni skipulagsheild,X13Loftslagsmál hafa mikil áhrif á ákvarðanatöku í minni skipulagsheild
118,X13..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.í.loftslags..og.umhverfismálum.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Skipulagsheildin.er.með.sérstaka.umhverfisstefnu..,X13,Skipulagsheildin er með sérstaka umhverfisstefnu,X13Skipulagsheildin er með sérstaka umhverfisstefnu
119,X13..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.í.loftslags..og.umhverfismálum.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Flugferðum.hefur.verið.fækkað.,X13,Flugferðum hefur verið fækkað,X13Flugferðum hefur verið fækkað
120,X13..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.í.loftslags..og.umhverfismálum.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Bílferðum.hefur.verið.fækkað..,X13,Bílferðum hefur verið fækkað,X13Bílferðum hefur verið fækkað
121,X13..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.í.loftslags..og.umhverfismálum.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Áhersla.er.á.endurnýtingu.efnis.sem.þarf.til.starfseminnar..,X13,Áhersla er á endurnýtingu efnis sem þarf til starfseminnar,X13Áhersla er á endurnýtingu efnis sem þarf til starfseminnar
122,X13..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.í.loftslags..og.umhverfismálum.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Boðið.er.uppá.sérstaka.dagskrá.eða.viðburði.þar.sem.loftslags..og.umhverfismál.eru.til.umfjöllunar..,X13,Boðið er uppá sérstaka dagskrá eða viðburði þar sem loftslags og umhverfismál eru til umfjöllunar,X13Boðið er uppá sérstaka dagskrá eða viðburði þar sem loftslags og umhverfismál eru til umfjöllunar
123,X13..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.í.loftslags..og.umhverfismálum.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Umsvif.hafa.verið.minnkuð.til.að.draga.úr.óæskilegum.umhverfisáhrifum..,X13,Umsvif hafa verið minnkuð til að draga úr óæskilegum umhverfisáhrifum,X13Umsvif hafa verið minnkuð til að draga úr óæskilegum umhverfisáhrifum
124,X13..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.í.loftslags..og.umhverfismálum.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Starfshættir.hafa.breyst.til.að.draga.úr.óæskilegum.umhverfisáhrifum..,X13,Starfshættir hafa breyst til að draga úr óæskilegum umhverfisáhrifum,X13Starfshættir hafa breyst til að draga úr óæskilegum umhverfisáhrifum
125,X14..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.í.jafnréttismálum.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Jafnréttismál.hafa.mikil.áhrif.á.ákvarðanatöku.í.minni.skipulagsheild..,X14,Jafnréttismál hafa mikil áhrif á ákvarðanatöku í minni skipulagsheild,X14Jafnréttismál hafa mikil áhrif á ákvarðanatöku í minni skipulagsheild
126,X14..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.í.jafnréttismálum.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Skipulagsheildin.er.með.sérstaka.jafnréttisstefnu..,X14,Skipulagsheildin er með sérstaka jafnréttisstefnu,X14Skipulagsheildin er með sérstaka jafnréttisstefnu
127,X14..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.í.jafnréttismálum.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Miðlun.hefur.verið.breytt.til.þess.að.endurspegla.jafnréttismál..,X14,Miðlun hefur verið breytt til þess að endurspegla jafnréttismál,X14Miðlun hefur verið breytt til þess að endurspegla jafnréttismál
128,X14..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.í.jafnréttismálum.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Kynningarefni.eða.upplýsingum.hefur.verið.breytt.til.þess.að.endurspegla.jafnréttismál..,X14,Kynningarefni eða upplýsingum hefur verið breytt til þess að endurspegla jafnréttismál,X14Kynningarefni eða upplýsingum hefur verið breytt til þess að endurspegla jafnréttismál
129,X14..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.í.jafnréttismálum.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Nýjum.hópum.gesta.viðskiptavina.hefur.verið.boðið.til.þátttöku.til.þess.að.endurspegla.jafnréttismál..,X14,Nýjum hópum gesta viðskiptavina hefur verið boðið til þátttöku til þess að endurspegla jafnréttismál,X14Nýjum hópum gesta viðskiptavina hefur verið boðið til þátttöku til þess að endurspegla jafnréttismál
130,X14..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.í.jafnréttismálum.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Markvisst.er.ráðið.í.stöður.til.þess.að.auka.jafnrétti.í.starfsmannahópnum..,X14,Markvisst er ráðið í stöður til þess að auka jafnrétti í starfsmannahópnum,X14Markvisst er ráðið í stöður til þess að auka jafnrétti í starfsmannahópnum
131,X14..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.í.jafnréttismálum.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Sérstök.verkefni.hafa.verið.valin.til.þess.að.jafna.hlut.kynjanna.í.starfseminni..,X14,Sérstök verkefni hafa verið valin til þess að jafna hlut kynjanna í starfseminni,X14Sérstök verkefni hafa verið valin til þess að jafna hlut kynjanna í starfseminni
132,X15..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.málefni.margbreytileika..diversity..og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Margbreytileiki.hefur.áhrif.á.ákvarðanatöku.í.minni.skipulagsheild..,X15,Margbreytileiki hefur áhrif á ákvarðanatöku í minni skipulagsheild,X15Margbreytileiki hefur áhrif á ákvarðanatöku í minni skipulagsheild
133,X15..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.málefni.margbreytileika..diversity..og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Skipulagsheildin.er.með.sérstaka.stefnu.varðandi.margbreytileika..,X15,Skipulagsheildin er með sérstaka stefnu varðandi margbreytileika,X15Skipulagsheildin er með sérstaka stefnu varðandi margbreytileika
134,X15..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.málefni.margbreytileika..diversity..og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Miðlun.hefur.verið.breytt.til.þess.að.endurspegla.margbreytileika.starfsfólks..,X15,Miðlun hefur verið breytt til þess að endurspegla margbreytileika starfsfólks,X15Miðlun hefur verið breytt til þess að endurspegla margbreytileika starfsfólks
135,X15..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.málefni.margbreytileika..diversity..og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Kynningarefni.og.miðlun.hefur.verið.breytt.til.þess.að.endurspegla.margbreytileika.og.ólíkan.uppruna.gesta.viðskptavina..,X15,Kynningarefni og miðlun hefur verið breytt til þess að endurspegla margbreytileika og ólíkan uppruna gesta viðskptavina,X15Kynningarefni og miðlun hefur verið breytt til þess að endurspegla margbreytileika og ólíkan uppruna gesta viðskptavina
136,X15..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.málefni.margbreytileika..diversity..og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Unnið.hefur.verið.með.nýja.hópa.í.því.skyni.að.auka.margbreytileika.gesta.viðskiptavina..,X15,Unnið hefur verið með nýja hópa í því skyni að auka margbreytileika gesta viðskiptavina,X15Unnið hefur verið með nýja hópa í því skyni að auka margbreytileika gesta viðskiptavina
137,X15..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.málefni.margbreytileika..diversity..og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Markvisst.er.ráðið.í.stöður.til.þess.að.auka.margbreytileika.starfsmanna..,X15,Markvisst er ráðið í stöður til þess að auka margbreytileika starfsmanna,X15Markvisst er ráðið í stöður til þess að auka margbreytileika starfsmanna
138,X16..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.á.inngildingu.jaðarsettra.hópa.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Inngilding.jaðarsettra.hópa.hefur.mikil.áhrif.á.ákvarðanatöku.í.minni.skipulagsheild..,X16,Inngilding jaðarsettra hópa hefur mikil áhrif á ákvarðanatöku í minni skipulagsheild,X16Inngilding jaðarsettra hópa hefur mikil áhrif á ákvarðanatöku í minni skipulagsheild
139,X16..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.á.inngildingu.jaðarsettra.hópa.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Skipulagsheildin.er.með.sérstaka.stefnu.um.inngildingu.jaðarsettra.hópa..,X16,Skipulagsheildin er með sérstaka stefnu um inngildingu jaðarsettra hópa,X16Skipulagsheildin er með sérstaka stefnu um inngildingu jaðarsettra hópa
140,X16..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.á.inngildingu.jaðarsettra.hópa.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Miðlun.hefur.verið.breytt.til.þess.að.auka.aðgengi.og.þátttöku.jaðarsettra.hópa..,X16,Miðlun hefur verið breytt til þess að auka aðgengi og þátttöku jaðarsettra hópa,X16Miðlun hefur verið breytt til þess að auka aðgengi og þátttöku jaðarsettra hópa
141,X16..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.á.inngildingu.jaðarsettra.hópa.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Kynningarefni.eða.upplýsingum.hefur.verið.breytt.til.þess.að.auka.aðgengi.og.þátttöku.jaðarsettra.hópa..,X16,Kynningarefni eða upplýsingum hefur verið breytt til þess að auka aðgengi og þátttöku jaðarsettra hópa,X16Kynningarefni eða upplýsingum hefur verið breytt til þess að auka aðgengi og þátttöku jaðarsettra hópa
142,X16..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.á.inngildingu.jaðarsettra.hópa.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Unnið.hefur.verið.með.nýja.hópa.gesta.viðskiptavina.í.því.skyni.að.bæta.inngildingu..,X16,Unnið hefur verið með nýja hópa gesta viðskiptavina í því skyni að bæta inngildingu,X16Unnið hefur verið með nýja hópa gesta viðskiptavina í því skyni að bæta inngildingu
143,X16..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.á.inngildingu.jaðarsettra.hópa.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu...Markvisst.er.ráðið.í.stöður.til.þess.að.auka.hlutfall.jaðarsettra.hópa.í.starfsmannahópnum..,X16,Markvisst er ráðið í stöður til þess að auka hlutfall jaðarsettra hópa í starfsmannahópnum,X16Markvisst er ráðið í stöður til þess að auka hlutfall jaðarsettra hópa í starfsmannahópnum
144,X17..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.heimsmarkmiða.um.sjálfbæra.þróun.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu..Heimsmarkmið.Sameinuðu..þjóðanna.hafa.mikil.áhrif.á..ákvarðanatöku.í.minni..skipulagsheild.,X17,Heimsmarkmið Sameinuðu þjóðanna hafa mikil áhrif á ákvarðanatöku í minni skipulagsheild,X17Heimsmarkmið Sameinuðu þjóðanna hafa mikil áhrif á ákvarðanatöku í minni skipulagsheild
145,X17..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.heimsmarkmiða.um.sjálfbæra.þróun.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu..Stefna.skipulagsheildarinnar.tekur..sérstaklega.mið.af..heimsmarkmiðum.Sameinuðu..þjóðanna.,X17,Stefna skipulagsheildarinnar tekur sérstaklega mið af heimsmarkmiðum Sameinuðu þjóðanna,X17Stefna skipulagsheildarinnar tekur sérstaklega mið af heimsmarkmiðum Sameinuðu þjóðanna
146,X17..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.heimsmarkmiða.um.sjálfbæra.þróun.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu..Skipulagsheildin.forgangsraðar..ákveðnum.heimsmarkmiðum.í..stefnu.sinni.og.starfi.,X17,Skipulagsheildin forgangsraðar ákveðnum heimsmarkmiðum í stefnu sinni og starfi,X17Skipulagsheildin forgangsraðar ákveðnum heimsmarkmiðum í stefnu sinni og starfi
147,X17..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.heimsmarkmiða.um.sjálfbæra.þróun.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu..Skipulagsheildin.mætti.taka.meira..mið.af.heimsmarkmiðum.í..ákvarðanatöku.sinni.,X17,Skipulagsheildin mætti taka meira mið af heimsmarkmiðum í ákvarðanatöku sinni,X17Skipulagsheildin mætti taka meira mið af heimsmarkmiðum í ákvarðanatöku sinni
148,X17..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.heimsmarkmiða.um.sjálfbæra.þróun.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu..Skipulagsheildin.setur.sjálfbærni.í..forgang.í.miðlun.og.fræðslu.,X17,Skipulagsheildin setur sjálfbærni í forgang í miðlun og fræðslu,X17Skipulagsheildin setur sjálfbærni í forgang í miðlun og fræðslu
149,X17..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.áherslur.heimsmarkmiða.um.sjálfbæra.þróun.og.áhrif.þeirra.á.ákvarðanatöku.í.þinni.skipulagsheild..Merkið.við.einn.valmöguleika.í.hverri.línu..Skipulagsheildin.er.mikilvægur..þáttur.í.að.stuðla.að.sjálfbærri..þróun.samfélagsins.,X17,Skipulagsheildin er mikilvægur þáttur í að stuðla að sjálfbærri þróun samfélagsins,X17Skipulagsheildin er mikilvægur þáttur í að stuðla að sjálfbærri þróun samfélagsins
150,X18..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.ástæður.þess.að.mun.fleiri.konur.eru.stjórnendur.í.menningargeiranum.heldur.en.í.viðskiptageiranum...Merkið.við.einn.valmöguleika.í.hverri.línu...Konur.eru.betri.en.karlar.í.menningarstjórnun..,X18,Konur eru betri en karlar í menningarstjórnun,X18Konur eru betri en karlar í menningarstjórnun
151,X18..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.ástæður.þess.að.mun.fleiri.konur.eru.stjórnendur.í.menningargeiranum.heldur.en.í.viðskiptageiranum...Merkið.við.einn.valmöguleika.í.hverri.línu...Konur.hafa.meiri.áhuga.á.menningu..,X18,Konur hafa meiri áhuga á menningu,X18Konur hafa meiri áhuga á menningu
